SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Tpm2,Formasi Madura,Madura Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tps1,Formasi Sonde,Sonde Formation,Sediment: clastic: fine: marl,Sedimentation: neritic,Sedimentation: neritic,
Msl,,,,,,
Mu,,,,,,
Pa,,,,,,
Qbb,,,,,,
Qsv,,,,,,
Qva,,,,,,
Qvc,,,,,,
Qve,,,,,,
